Iteration,BestFitnessScore,SelectedFeatures,ReductionRatioPercent,Description
0,0.961159,1018,50.29%,"Initial Population Initialization (Random Nest Generation)"
1,0.961159,1018,50.29%,"Lévy Flight Global Inversion Step (All bits inverted)"
2,0.961159,1018,50.29%,"Lévy Flight Select All Step (All bits set to 1)"
3,0.961159,1018,50.29%,"Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)"
4,0.961159,1018,50.29%,"Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)"
5,0.961159,1018,50.29%,"Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)"
6,0.961159,1018,50.29%,"Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)"
7,0.961159,1018,50.29%,"Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)"
8,0.961159,1018,50.29%,"Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)"
9,0.961159,1018,50.29%,"Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)"
10,0.961159,1018,50.29%,"Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)"
11,0.961159,1018,50.29%,"Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)"
12,0.961159,1018,50.29%,"Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)"
13,0.961159,1018,50.29%,"Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)"
14,0.961159,1018,50.29%,"Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)"
15,0.961159,1018,50.29%,"Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)"
16,0.961159,1018,50.29%,"Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)"
17,0.961159,1018,50.29%,"Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)"
18,0.961159,1018,50.29%,"Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)"
19,0.961159,1018,50.29%,"Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)"
20,0.961159,1018,50.29%,"Lévy Flight Zero Step (Stagnated at Local Optima - 0 bit changes)"
